"","String","Count"
"2","the_end_of_the",56198
"5","the_rest_of_the",46946
"4","at_the_end_of",46466
"3","at_the_same_time",46362
"6","for_the_first_time",42684
"1","in_the_united_states",41205
"7","one_of_the_most",33247
"11","in_the_middle_of",32727
"1929","thanks_for_the_follow",30780
"14","is_going_to_be",30650
"25","going_to_be_a",30283
"12","is_one_of_the",29639
"13","to_be_able_to",27754
"8","on_the_other_hand",27137
"22","when_it_comes_to",25360
"9","a_lot_of_people",24897
"94","as_one_of_the",23705
"32","if_you_want_to",23529
"10","of_the_united_states",21025
"267","the_first_time_i",20130
"18","the_middle_of_the",19762
"20","what_do_you_think",19723
"15","as_well_as_the",19613
"16","in_front_of_the",19144
"111","thank_you_so_much",18933
"1930","thanks_for_the_rt",17910
"26","the_top_of_the",17054
"42","the_fact_that_the",16846
"21","going_to_have_to",16635
"51","i_would_like_to",16394
"53","i_was_going_to",15997
"1931","thank_you_for_the",15980
"93","one_of_the_best",15754
"28","was_one_of_the",15642
"19","as_a_result_of",15570
"1932","can't_wait_to_see",15480
"29","for_a_long_time",15358
"17","thank_you_very_much",14815
"46","are_you_going_to",14777
"48","a_lot_of_the",14764
"52","for_the_rest_of",14697
"33","by_the_end_of",14592
"572","i_am_going_to",14336
"200","if_you_have_a",13881
"409","do_you_have_a",13812
"76","to_go_to_the",13689
"1616","one_of_my_favorite",13663
"39","in_the_first_place",13364
"1933","i_don't_want_to",13060
"36","the_back_of_the",12837
"27","the_new_york_times",12679
"47","the_first_time_in",12354
"30","a_member_of_the",12237
"35","on_the_other_side",12228
"60","the_bottom_of_the",12188
"57","a_little_bit_of",12134
"24","the_united_states_and",12069
"31","in_the_case_of",11976
"64","have_a_lot_of",11825
"54","was_going_to_be",11824
"41","are_going_to_be",11732
"49","nothing_to_do_with",11664
"55","at_the_top_of",11587
"72","he_was_going_to",11559
"363","a_bit_of_a",11523
"77","will_be_able_to",11407
"154","i_just_want_to",11322
"1934","i_can't_wait_to",11290
"176","i_want_to_be",11015
"44","in_the_form_of",11007
"56","to_do_with_the",10969
"45","the_other_side_of",10934
"23","and_i_think_that",10898
"868","i_wish_i_could",10846
"569","i_feel_like_i",10623
"95","to_get_out_of",10467
"666","the_fact_that_i",10336
"62","the_beginning_of_the",10190
"38","one_of_the_things",10086
"114","the_best_way_to",10068
"97","we_are_going_to",10002
"178","i_thought_it_was",9998
"63","the_side_of_the",9933
"59","in_a_way_that",9899
"65","turned_out_to_be",9873
"96","as_part_of_the",9792
"37","the_edge_of_the",9753
"84","do_you_want_to",9734
"137","a_lot_of_time",9633
"34","to_the_united_states",9597
"116","to_go_back_to",9596
"2090","have_a_great_week",9560
"87","for_the_most_part",9519
"43","the_center_of_the",9388
"804","as_much_as_i",9245
"86","take_a_look_at",9181
"402","i_have_to_say",9132
"91","in_the_midst_of",9126
"405","i_was_able_to",9120
"74","there_are_a_lot",9086
"164","most_of_the_time",9080
"58","a_great_deal_of",8994
"75","are_a_lot_of",8958
"68","n't_want_to_be",8946
"102","a_few_years_ago",8834
"118","it_would_be_a",8799
"165","what_are_you_doing",8798
"542","i_have_no_idea",8783
"61","in_the_face_of",8703
"99","as_well_as_a",8698
"40","on_the_basis_of",8694
"1366","thanks_so_much_for",8640
"88","at_the_beginning_of",8604
"1935","have_a_great_day",8590
"78","all_of_a_sudden",8501
