"","String","Count"
"1","of_the",2586813
"2","in_the",2043262
"3","to_the",1055301
"4","on_the",920079
"5","and_the",737714
"6","to_be",657504
"7","at_the",617976
"8","for_the",616400
"9","in_a",544137
"10","with_the",477541
"11","from_the",472490
"12","it_was",466117
"13","of_a",444998
"14","that_the",399074
"15","as_a",365847
"16","is_a",364083
"17","going_to",363524
"18","by_the",361826
"19","and_i",345078
"20","it_is",344509
"21","with_a",332044
"22","i_think",317946
"23","for_a",310490
"24","he_was",305813
"25","one_of",299439
"26","you_know",284348
"27","is_the",275367
"28","was_a",268689
"29","i_was",258425
"30","out_of",257291
"31","this_is",254913
"32","i_do",254644
"33","and_a",252701
"34","to_a",245879
"35","as_the",241575
"36","into_the",240564
"37","the_first",234570
"38","to_do",232705
"39","have_to",227761
"40","have_been",225941
"41","want_to",222933
"42","if_you",218485
"43","the_same",217896
"44","on_a",207573
"45","more_than",200336
"46","i_don't",199110
"47","a_lot",198792
"48","to_get",197714
"49","about_the",196931
"50","of_his",191007
"51","have_a",188575
"52","has_been",188364
"53","will_be",184967
"54","would_be",181110
"55","the_world",169354
"56","he_said",168510
"57","all_the",167854
"58","to_have",166384
"59","there_is",165911
"60","in_this",165845
"61","to_make",165688
"62","and_that",165016
"63","that_he",160833
"64","was_the",160096
"65","the_most",159130
"66","she_was",158597
"67","is_not",158588
"68","and_then",158081
"69","over_the",157470
"70","they_were",157037
"71","in_his",156652
"72","there_are",156581
"73","do_you",156474
"74","we_have",155714
"75","kind_of",154645
"76","but_the",154568
"77","the_other",153979
"78","had_been",152905
"79","you_can",152318
"80","and_it",151644
"81","lot_of",149324
"82","is_that",148990
"83","he_had",148533
"84","and_he",148416
"85","they_are",147746
"86","new_york",146909
"87","but_i",146687
"88","i_have",146414
"89","be_a",145704
"90","there_was",144769
"91","that_is",144428
"92","can_be",143577
"93","a_few",143336
"94","part_of",143275
"95","the_united",143193
"96","a_little",140510
"97","of_this",138770
"98","you_have",137813
"99","that_they",135546
"100","united_states",135421
"101","the_way",134756
"102","through_the",133660
"103","to_see",133614
"104","some_of",130213
"105","such_as",129054
"106","as_well",126427
"107","to_go",126129
"108","that_i",125570
"109","the_new",121870
"110","that_it",121441
"111","but_it",121385
"112","of_their",121344
"113","at_least",120132
"114","that_we",119767
"115","and_they",119711
"116","when_the",119680
"117","that_was",119555
"118","like_a",119191
"119","at_a",119098
"120","had_a",118344
"121","and_we",115823
"122","trying_to",115633
"123","n't_know",114701
"124","i_had",114288
"125","a_new",113477
"126","the_time",110244
"127","you_do",110117
"128","able_to",108614
"129","of_them",107846
"130","all_of",106921
"131","back_to",106899
"132","the_last",106374
"133","when_i",105105
"134","would_have",104857
"135","of_course",104526
"136","did_not",104468
"137","of_her",104286
"138","when_he",104263
"139","to_take",104228
"140","n't_have",103550
"141","i_mean",103408
"142","had_to",103185
"143","need_to",102344
"144","from_a",102262
"145","number_of",102156
"146","the_next",101977
"147","up_to",101410
"148","and_you",101358
"149","i_did",101112
"150","may_be",100565
"151","during_the",99408
"152","into_a",99157
"153","i_would",97523
"154","that_you",97512
"155","by_a",96805
"156","and_his",95251
"157","of_these",94980
"158","in_their",94912
"159","when_you",94580
"160","we_are",94216
"161","he_is",94060
"162","he_says",93245
"163","should_be",93196
"164","a_good",92691
"165","to_say",91767
"166","i_am",91303
"167","according_to",91259
"168","if_the",89587
"169","they_have",89542
"170","look_at",88921
"171","to_me",88809
"172","the_best",88802
"173","she_had",88180
"174","she_said",87942
"175","i_could",87689
"176","after_the",87564
"177","the_only",86584
"178","is_to",85854
"179","it_would",85356
"180","he_has",85237
"181","wanted_to",84947
"182","most_of",84822
"183","which_is",84255
"184","and_other",84175
"185","for_example",84136
"186","could_be",83595
"187","the_end",83548
"188","because_of",83493
"189","think_that",83009
"190","and_in",82953
"191","used_to",81618
"192","percent_of",81211
"193","in_which",81143
"194","don't_know",81097
"195","thank_you",80884
"196","around_the",80546
"197","the_country",80418
"198","the_state",80357
"199","i_know",80184
"200","was_not",80018
"201","to_his",79843
"202","but_he",79517
"203","the_president",79496
"204","up_the",79469
"205","a_very",78972
"206","in_my",78870
"207","be_the",78572
"208","as_he",78540
"209","in_an",78224
"210","of_my",78178
"211","we_were",78171
"212","of_all",78164
"213","and_to",78118
"214","what_i",78033
"215","of_it",77693
"216","way_to",77225
"217","the_two",77174
"218","i_can",77082
"219","well_as",76519
"220","not_to",76121
"221","in_her",76010
"222","he_did",75974
"223","has_a",75953
"224","the_u.s",75921
"225","in_fact",75809
"226","we_do",75389
"227","on_his",75066
"228","of_an",75060
"229","are_you",74969
"230","of_our",74723
"231","are_not",74391
"232","end_of",74265
"233","to_her",74146
"234","years_ago",74123
"235","like_the",74040
"236","as_if",73851
"237","and_she",73213
"238","not_be",73211
"239","the_past",73188
"240","go_to",72928
"241","of_that",72860
"242","people_who",72838
"243","across_the",72816
"244","not_a",72454
"245","if_i",72398
"246","i_said",71426
"247","we_can",71367
"248","are_the",71366
"249","n't_want",71217
"250","if_they",71150
"251","between_the",71102
"252","how_to",70446
"253","there_were",70221
"254","have_the",70193
"255","you_are",70149
"256","to_keep",69860
"257","you_think",69705
"258","off_the",68900
"259","with_his",68642
"260","they_do",68599
"261","the_people",68557
"262","that_she",68363
"263","that_are",68238
"264","to_find",68092
"265","you_don't",67941
"266","do_not",67912
"267","of_those",67390
"268","their_own",67259
"269","of_its",67170
"270","the_american",66704
"271","sort_of",66556
"272","down_the",66543
"273","the_right",66492
"274","against_the",66459
"275","when_they",66359
"276","they_had",66306
"277","who_are",65877
"278","is_an",65717
"279","what_is",65608
"280","he_could",65580
"281","than_the",65535
"282","if_he",65463
"283","i_want",65359
"284","as_an",65057
"285","he_would",64965
"286","it_has",64837
"287","and_so",64821
"288","the_city",64678
"289","can_not",64614
"290","not_only",64228
"291","it_to",63894
"292","you_want",63772
"293","under_the",63367
"294","to_help",63266
"295","n't_think",62710
"296","that_would",62413
"297","so_i",62305
"298","try_to",62302
"299","the_house",62179
"300","what_you",62133
"301","that_there",62092
"302","a_year",61981
"303","that_a",61971
"304","such_a",61918
"305","all_right",61867
"306","as_they",61839
"307","about_it",61818
"308","if_it",61803
"309","before_the",61703
"310","no_one",61521
"311","i_didn't",61519
"312","where_the",61382
"313","does_not",61186
"314","was_in",61009
"315","know_what",60866
"316","to_work",60770
"317","a_great",60624
"318","many_of",60466
"319","them_to",60419
"320","at_all",60401
"321","as_i",60268
"322","like_to",60255
"323","what_the",60214
"324","out_the",60139
"325","a_long",60066
"326","in_that",60001
"327","the_fact",59874
"328","rather_than",59561
"329","think_it",59463
"330","to_know",59460
"331","the_door",59293
"332","the_national",59292
"333","or_the",59191
"334","what_they",59175
"335","so_that",59138
