"","String","Count"
"1","one_of_the",167285
"2","a_lot_of",143368
"3","the_united_states",125280
"4","do_n't_know",81097
"5","out_of_the",78526
"6","as_well_as",75459
"7","going_to_be",73736
"8","some_of_the",68687
"9","to_be_a",61930
"10","part_of_the",60849
"11","the_end_of",58462
"12","it_was_a",57015
"13","do_n't_think",51446
"14","be_able_to",49051
"15","i_think_that",47566
"16","the_fact_that",47357
"17","n't_want_to",47260
"18","do_n't_have",46811
"19","and_i_think",43185
"20","there_is_a",42811
"21","the_rest_of",42693
"22","i_want_to",42566
"23","this_is_a",42109
"24","do_n't_want",41802
"25","there_was_a",41746
"26","you_have_to",41203
"27","in_front_of",40678
"28","end_of_the",40586
"29","most_of_the",40189
"30","i_think_it",38730
"31","the_first_time",38558
"32","is_going_to",38282
"33","do_you_think",37724
"34","in_the_united",37578
"35","in_new_york",37394
"36","in_order_to",37327
"37","in_the_world",37251
"38","you_want_to",36458
"39","a_couple_of",35909
"40","a_number_of",33634
"41","on_the_other",33614
"42","in_terms_of",33570
"43","what_do_you",33476
"44","there_is_no",33353
"45","this_is_the",33271
"46","percent_of_the",33166
"47","the_number_of",33020
"48","not_going_to",32723
"49","it_would_be",32714
"50","of_the_world",32608
"51","at_the_same",32528
"52","back_to_the",31956
"53","the_same_time",31312
"54","for_the_first",29565
"55","in_the_middle",29529
"56","it_is_a",29477
"57","to_do_with",29477
"58","to_be_the",29458
"59","in_the_past",28912
"60","at_the_end",28639
"61","it_was_the",28584
"62","a_little_bit",28432
"63","of_the_most",28395
"64","was_going_to",28386
"65","are_going_to",28339
"66","to_have_a",28327
"67","at_the_time",27917
"68","because_of_the",27840
"69","we_have_to",26511
"70","side_of_the",26504
"71","more_than_a",26503
"72","have_to_be",26386
"73","i_think_the",26122
"74","is_one_of",25862
"75","there_was_no",25567
"76","did_n't_know",25538
"77","the_use_of",25208
"78","in_the_first",24975
"79","n't_have_to",24596
"80","according_to_the",24265
"81","as_a_result",24215
"82","many_of_the",23866
"83","all_of_the",23828
"84","rest_of_the",23802
"85","look_at_the",23717
"86","that_he_was",23702
"87","going_to_have",23535
"88","the_kind_of",23351
"89","and_it_was",23308
"90","to_go_to",23276
"91","the_new_york",23072
"92","he_was_a",22842
"93","would_have_been",22414
"94","the_middle_of",22344
"95","that_it_was",22272
"96","it_is_not",22213
"97","as_long_as",21910
"98","i_have_to",21880
"99","to_make_a",21774
"100","as_much_as",21477
"101","members_of_the",21422
"102","did_n't_have",21362
"103","the_white_house",21155
"104","of_the_united",20726
"105","to_do_it",20647
"106","did_n't_want",20507
"107","but_it_was",20447
"108","a_series_of",20380
"109","want_to_be",20301
"110","when_i_was",20198
"111","a_long_time",20080
"112","and_in_the",20015
"113","in_the_same",19907
"114","we_have_a",19796
"115","in_the_last",19723
"116","i_think_we",19707
"117","i_wanted_to",19684
"118","is_that_the",19536
"119","we_need_to",19519
"120","the_other_hand",19511
"121","you_have_a",19321
"122","n't_know_what",19301
"123","up_to_the",19246
"124","do_n't_you",19196
"125","in_addition_to",19050
"126","how_do_you",18884
"127","director_of_the",18837
"128","lot_of_people",18765
"129","is_not_a",18696
"130","away_from_the",18582
"131","the_back_of",18498
"132","a_variety_of",18415
"133","such_as_the",18402
"134","president_of_the",18371
"135","when_he_was",18083
"136","to_try_to",17708
"137","one_of_those",17635
"138","of_the_new",17585
"139","but_i_think",17564
"140","in_the_early",17518
"141","by_the_time",17500
"142","going_to_do",17448
"143","as_far_as",17430
"144","all_the_time",17400
"145","you_know_what",17383
"146","the_top_of",17372
"147","to_make_the",17365
"148","it_is_the",17305
"149","to_deal_with",17295
"150","go_to_the",17132
"151","to_talk_about",17124
"152","was_one_of",17094
"153","i_have_a",17036
"154","much_of_the",16989
"155","a_matter_of",16975
"156","if_you_do",16953
"157","up_in_the",16898
"158","that_it_is",16885
"159","can_not_be",16881
"160","to_take_a",16808
"161","as_soon_as",16714
"162","it_will_be",16651
"163","i_had_to",16631
"164","would_be_a",16530
"165","a_kind_of",16473
"166","and_i_was",16415
"167","to_make_sure",16399
"168","to_get_a",16375
"169","to_get_the",16326
"170","this_is_not",16278
"171","to_look_at",16238
"172","in_this_country",16194
"173","at_a_time",16176
"174","would_like_to",16162
"175","and_i_do",15992
"176","one_of_them",15957
"177","a_sense_of",15932
"178","in_the_morning",15898
"179","need_to_be",15860
"180","to_see_the",15857
"181","front_of_the",15853
"182","the_idea_of",15850
"183","that_he_had",15760
"184","member_of_the",15724
"185","a_group_of",15564
"186","was_in_the",15517
"187","going_to_get",15513
"188","for_a_moment",15473
"189","to_say_that",15367
"190","to_be_in",15254
"191","part_of_a",15130
"192","but_i_do",15090
"193","as_part_of",15075
"194","in_which_the",15060
"195","but_it_is",14825
"196","of_the_year",14800
"197","had_to_be",14773
"198","to_be_able",14761
"199","top_of_the",14749
"200","of_the_american",14623
"201","of_the_country",14621
"202","to_do_that",14568
"203","in_the_country",14549
